Project,actionpack,activesupport,backlinks,bucketwise,chiliproject,diaspora,feedmerger,itjobs,jekyll,lpp,pludoni-feedimport-0.1.1,pludonidb-0.1.0,railscasts,Site-Structure-Analyzer
LOC,12995.0,9407.0,1884.0,1979.0,21201.0,7466.0,724.0,1570.0,1688.0,7116.0,571.0,1933.0,653.0,214.0
LOT,32570.0,13590.0,75.0,1684.0,20127.0,10072.0,137.0,1750.0,1072.0,1557.0,865.0,0.0,748.0,0.0
LOC/LOT,0.4,0.7,25.1,1.2,1.1,0.7,5.3,0.9,1.6,4.6,0.7,0.0,0.9,0.0
AVGComplexity,11.1,10.9,19.9,12.8,19.1,13.1,10.5,8.0,19.4,17.1,16.8,13.7,11.0,14.8
H5Complexity,64.0,47.9,70.6,32.2,84.4,54.0,26.9,43.8,228.9,181.8,0.0,113.2,34.6,0.0
DesignSmells,370.0,166.0,69.0,37.0,651.0,99.0,11.0,11.0,27.0,250.0,8.0,25.0,2.0,11.0
DesignSmells/KLOC,28.5,17.6,36.6,18.7,30.7,13.3,15.2,7.0,16.0,35.1,14.0,12.9,3.1,51.4
CodeSmells,982.0,291.0,152.0,129.0,1535.0,324.0,52.0,53.0,84.0,386.0,28.0,113.0,42.0,13.0
CodeSmells/KLOC,75.6,30.9,80.7,65.2,72.4,43.4,71.8,33.8,49.8,54.2,49.0,58.5,64.3,60.7
LowCohesion,402.0,109.0,49.0,30.0,395.0,116.0,8.0,18.0,14.0,59.0,7.0,29.0,17.0,3.0
LongMethod,194.0,74.0,40.0,38.0,436.0,109.0,14.0,23.0,31.0,147.0,13.0,35.0,9.0,2.0
ControlCouple,120.0,29.0,8.0,11.0,102.0,7.0,4.0,5.0,17.0,8.0,4.0
LongParameterList,72.0,5.0,8.0,3.0,38.0,8.0,7.0,38.0,1.0
NestedIterators,59.0,24.0,21.0,33.0,173.0,35.0,23.0,9.0,17.0,5.0,4.0,13.0,9.0,7.0
DataClump,53.0,12.0,1.0,37.0,5.0,1.0,12.0
UncommunicativeName,24.0,11.0,16.0,4.0,69.0,2.0,30.0,22.0,1.0
Duplication,24.0,8.0,9.0,9.0,142.0,31.0,7.0,67.0,1.0,5.0,2.0
ClassVariable,18.0,7.0,48.0,5.0,2.0,1.0,4.0,1.0,1.0
SimulatedPolymorphism,10.0,10.0,1.0,70.0,3.0,1.0,1.0,5.0
LargeClass,6.0,2.0,25.0,5.0,1.0,2.0,2.0
