"Project","itjobs","bucketwise","lpp","chiliproject","actionpack","activesupport","diaspora","railscasts"
"Technologie","Rails3","Rails2","Rails1","Rails2","Rails3","Rails3","Rails3","Rails3"
"LOC",1570,1979,7116,21201,12995,9407,7466,653
"LOT",1750,1684,1557,20127,32570,13590,10072,748
"LOT/LOC",1.11,0.85,0.22,0.95,2.51,1.44,1.35,1.15
"AVGCmplx",8.00,12.80,17.10,19.10,11.10,10.90,13.10,11.00
"H5Cmplx",43.80,32.20,181.80,84.40,64.00,47.90,54.00,34.60
"DesignSm",11,37,250,651,370,166,99,2
"DesignSm/KLOC",7.00,18.70,35.10,30.70,28.50,17.60,13.30,3.10
"CodeSm",53,129,386,1535,982,291,324,42
"CodeSm/KLOC",33.80,65.20,54.20,72.40,75.60,30.90,43.40,64.30
